,zipcode,cases,rate_p100000,state_name,county,total_pop,white_pop,black_pop,hispanic_pop,poverty,percent_income_spent_on_rent,employed_pop,commuters_by_public_transportation,employed_education_health_social,employed_arts_entertainment_recreation_accommodation_food,employed_transportation_warehousing_utilities
0,48219,809,1713,Michigan,Wayne County,48184.0,2848.0,43882.0,430.0,15657.0,39.2,17432.0,890.0,3976.0,2249.0,1452.0
1,48235,951,2133,Michigan,Wayne County,44753.0,586.0,43129.0,433.0,13683.0,40.9,14768.0,671.0,3573.0,1372.0,627.0
2,48221,637,1654,Michigan,Wayne County,41821.0,2321.0,37650.0,329.0,9205.0,36.4,15893.0,695.0,4527.0,1398.0,858.0
3,48203,146,828,Michigan,Wayne County,22939.0,1648.0,20119.0,452.0,8626.0,39.5,7204.0,925.0,1964.0,1183.0,387.0
4,48234,454,1254,Michigan,Wayne County,34156.0,1303.0,31859.0,247.0,12761.0,43.4,10257.0,843.0,2190.0,1558.0,603.0
5,48212,116,658,Michigan,Wayne County,38161.0,14876.0,9572.0,537.0,16900.0,34.4,10848.0,517.0,1741.0,1615.0,662.0
6,48205,524,1203,Michigan,Wayne County,33953.0,1227.0,31804.0,76.0,9080.0,33.4,14868.0,722.0,2792.0,2360.0,629.0
7,48223,317,1279,Michigan,Wayne County,24632.0,2066.0,21446.0,336.0,7508.0,38.8,9369.0,443.0,2353.0,1074.0,813.0
8,48227,626,1382,Michigan,Wayne County,41777.0,669.0,39967.0,195.0,14579.0,45.0,12925.0,905.0,3615.0,1318.0,852.0
9,48238,348,1110,Michigan,Wayne County,27051.0,498.0,25950.0,176.0,11203.0,41.9,7694.0,589.0,2227.0,778.0,480.0
10,48228,668,1286,Michigan,Wayne County,55737.0,8890.0,41902.0,3143.0,22922.0,43.9,17934.0,1200.0,4361.0,2186.0,1354.0
11,48204,374,1314,Michigan,Wayne County,24524.0,498.0,23026.0,677.0,10287.0,45.0,7726.0,878.0,1923.0,840.0,330.0
12,48206,260,1151,Michigan,Wayne County,15745.0,873.0,14011.0,336.0,6414.0,39.0,5126.0,619.0,1663.0,712.0,264.0
13,48202,226,1360,Michigan,Wayne County,16049.0,3799.0,10676.0,348.0,5659.0,33.2,7080.0,636.0,2544.0,896.0,232.0
14,48211,68,1126,Michigan,Wayne County,6318.0,2177.0,3602.0,55.0,2379.0,40.5,1781.0,138.0,313.0,249.0,165.0
15,48213,330,1190,Michigan,Wayne County,22795.0,452.0,21945.0,164.0,9686.0,38.3,7171.0,1040.0,1684.0,1170.0,415.0
16,48224,611,1355,Michigan,Wayne County,41973.0,3163.0,37665.0,272.0,15441.0,45.6,14686.0,1343.0,3338.0,2216.0,1244.0
17,48210,216,689,Michigan,Wayne County,29930.0,7753.0,4982.0,16320.0,12114.0,31.0,9133.0,314.0,874.0,1154.0,513.0
18,48208,161,1685,Michigan,Wayne County,9196.0,1544.0,6634.0,583.0,3860.0,33.7,3360.0,328.0,970.0,490.0,73.0
19,48201,175,1357,Michigan,Wayne County,15954.0,3853.0,9638.0,338.0,8091.0,33.5,6118.0,475.0,2133.0,934.0,145.0
20,48207,409,2105,Michigan,Wayne County,21230.0,3297.0,17063.0,133.0,7052.0,32.1,7838.0,800.0,2055.0,1116.0,355.0
21,48214,388,1615,Michigan,Wayne County,21086.0,2924.0,17370.0,332.0,6814.0,29.9,8179.0,1099.0,1929.0,916.0,381.0
22,48215,161,1292,Michigan,Wayne County,11979.0,858.0,10740.0,163.0,5009.0,39.7,3746.0,257.0,1062.0,594.0,336.0
23,48217,94,1145,Michigan,Wayne County,6887.0,277.0,5420.0,1056.0,2748.0,34.1,2001.0,249.0,339.0,248.0,187.0
24,48209,241,756,Michigan,Wayne County,32620.0,6475.0,2775.0,22652.0,14349.0,37.7,10402.0,310.0,1030.0,1478.0,411.0
25,48216,66,1070,Michigan,Wayne County,5179.0,1492.0,1930.0,1589.0,1709.0,29.2,2375.0,93.0,480.0,415.0,61.0
26,48226,77,1478,Michigan,Wayne County,6935.0,2897.0,2757.0,346.0,1120.0,26.8,4099.0,209.0,840.0,403.0,136.0
